norm_key,ulcm_substance_raw,atc_codes,ulcm_rows,is_combination,role,n_suppliers,n_countries,top_country,top_country_share,hhi_country,single_country,eu_eea_share,countries
imiglucerase,IMIGLUCERASE,A16AB02,1,False,bio_api,3.0,1.0,US,1.0,10000.0,True,0.0,US
influenza vaccine,"INFLUENZA VACCINE (various forms, strains)",J07BB01|J07BB02,2,False,,,,,,,,,
inotuzumab ozogamicin,INOTUZUMAB OZOGAMICIN,L01FB01,1,False,batch_release,1.0,1.0,BE,1.0,10000.0,True,1.0,BE
inotuzumab ozogamicin,INOTUZUMAB OZOGAMICIN,L01FB01,1,False,bio_api,1.0,1.0,US,1.0,10000.0,True,0.0,US
insulin,INSULIN HUMAN (fast-acting),A10AB01|A10AC01|A10AD01,3,False,batch_release,7.0,3.0,DK,0.7142857142857143,5510.2,False,1.0,DE|DK|FR
insulin,INSULIN HUMAN (fast-acting),A10AB01|A10AC01|A10AD01,3,False,bio_api,2.0,2.0,DE,0.5,5000.0,False,1.0,DE|DK
insulin aspart,INSULIN ASPART,A10AB05,1,False,batch_release,9.0,5.0,DK,0.5555555555555556,3580.2,False,1.0,DE|DK|FR|HU|IE
insulin aspart,INSULIN ASPART,A10AB05,1,False,bio_api,3.0,3.0,DE,0.3333333333333333,3333.3,False,0.6666666666666666,DE|DK|MY
insulin degludec,INSULIN DEGLUDEC,A10AE06,1,False,batch_release,2.0,2.0,DK,0.5,5000.0,False,1.0,DK|FR
insulin degludec,INSULIN DEGLUDEC,A10AE06,1,False,bio_api,1.0,1.0,DK,1.0,10000.0,True,1.0,DK
ipratropium,IPRATROPIUM,R03BB01,1,False,api_cep,9.0,3.0,IN,0.6666666666666666,5061.7,False,0.3333333333333333,DE|IN|IT
isavuconazole,ISAVUCONAZOLE,J02AC05,1,False,batch_release,2.0,2.0,GB,0.5,5000.0,False,0.5,GB|IE
isoniazid,ISONIAZID,J04AC01,1,False,api_cep,5.0,3.0,IN,0.6,4400.0,False,0.0,CN|IN|JP
isoniazid|rifampicin,"ISONIAZID, RIFAMPICIN",J04AM02,1,True,,,,,,,,,
isoprenaline,ISOPRENALINE,C01CA02,1,False,api_cep,5.0,3.0,IN,0.6,4400.0,False,0.2,CN|IN|IT
ketamine,KETAMINE,N01AX03,1,False,api_cep,6.0,3.0,IN,0.5,3888.9,False,0.3333333333333333,DE|GB|IN
labetalol,LABETALOL,C07AG01,1,False,api_cep,7.0,3.0,IN,0.5714285714285714,4285.7,False,0.2857142857142857,GB|IN|IT
lamivudine,LAMIVUDINE,J05AF05,1,False,api_cep,11.0,2.0,IN,0.8181818181818182,7024.8,False,0.0,CN|IN
lamivudine,LAMIVUDINE,J05AF05,1,False,batch_release,6.0,4.0,IE,0.3333333333333333,2777.8,False,1.0,HU|IE|NL|PL
levofloxacin,LEVOFLOXACIN,J01MA12,1,False,api_cep,17.0,4.0,IN,0.5294117647058824,4117.6,False,0.11764705882352941,CN|ES|IN|NL
levofloxacin,LEVOFLOXACIN,J01MA12,1,False,batch_release,1.0,1.0,IT,1.0,10000.0,True,1.0,IT
lidocaine,LIDOCAINE,C01BB01,1,False,api_cep,12.0,7.0,IN,0.4166666666666667,2361.1,False,0.25,CN|ES|IN|IT|SE|TW|US
lithium,LITHIUM,N05AN01,1,False,,,,,,,,,
lorazepam,LORAZEPAM,N05BA06,1,False,api_cep,6.0,3.0,IN,0.5,3888.9,False,0.5,DE|IN|IT
magnesium sulfate,MAGNESIUM SULFATE,A12CC02|B05XA05,2,False,api_cep,2.0,2.0,CZ,0.5,5000.0,False,0.5,CZ|US
mannitol,MANNITOL,B05BC01,1,False,api_cep,1.0,1.0,FR,1.0,10000.0,True,1.0,FR
mannitol,MANNITOL,B05BC01,1,False,batch_release,1.0,1.0,IE,1.0,10000.0,True,1.0,IE
measles|mumps|rubella vaccine,"MEASLES, MUMPS, RUBELLA VACCINE",J07BD52,1,True,,,,,,,,,
