atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A16AB,A,mah_national,12,6,1,,,,,
A16AB02,A,batch_release,1,1,1,1,IE,1.0,10000.0,1.0
A16AB02,A,bio_api,1,3,1,1,US,1.0,10000.0,0.0
A16AB02,A,mah_national,1,1,1,,,,,
A16AB03,A,batch_release,1,2,0,1,IE,1.0,10000.0,1.0
A16AB03,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB03,A,mah_national,1,1,0,,,,,
A16AB04,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB04,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB04,A,mah_national,2,1,0,,,,,
A16AB05,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB05,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB05,A,mah_national,1,1,0,,,,,
A16AB07,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB07,A,bio_api,1,1,0,1,BE,1.0,10000.0,1.0
A16AB07,A,mah_national,1,1,0,,,,,
A16AB08,A,mah_national,1,1,0,,,,,
A16AB09,A,batch_release,1,2,0,1,IE,1.0,10000.0,1.0
A16AB09,A,bio_api,1,2,0,1,US,1.0,10000.0,0.0
A16AB09,A,mah_national,1,1,0,,,,,
A16AB10,A,batch_release,1,2,0,1,IE,1.0,10000.0,1.0
A16AB10,A,bio_api,1,2,0,1,US,1.0,10000.0,0.0
A16AB10,A,mah_national,1,1,0,,,,,
A16AB12,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB12,A,bio_api,1,2,0,2,IE,0.5,5000.0,0.5
A16AB12,A,mah_national,1,1,0,,,,,
A16AB14,A,mah_national,1,1,0,,,,,
A16AB15,A,batch_release,1,1,0,1,IT,1.0,10000.0,1.0
A16AB15,A,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
A16AB15,A,mah_national,1,1,0,,,,,
A16AB18,A,batch_release,1,1,0,1,NL,1.0,10000.0,1.0
A16AB18,A,bio_api,1,1,0,1,DE,1.0,10000.0,1.0
A16AB18,A,mah_national,1,1,0,,,,,
A16AB19,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB19,A,bio_api,1,2,0,2,AT,0.5,5000.0,0.5
A16AB19,A,mah_national,1,1,0,,,,,
A16AB20,A,batch_release,1,1,0,1,IT,1.0,10000.0,1.0
A16AB20,A,bio_api,1,1,0,1,IL,1.0,10000.0,0.0
A16AB20,A,mah_national,1,1,0,,,,,
A16AB21,A,mah_national,1,1,0,,,,,
A16AB22,A,mah_national,1,1,0,,,,,
A16AB23,A,mah_national,1,1,0,,,,,
A16AB24,A,batch_release,1,1,0,1,SE,1.0,10000.0,1.0
A16AB24,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB24,A,mah_national,1,1,0,,,,,
A16AB25,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB25,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB25,A,mah_national,1,1,0,,,,,
A16AB26,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AB26,A,bio_api,1,1,0,1,US,1.0,10000.0,0.0
A16AB26,A,mah_national,1,1,0,,,,,
A16AX,A,batch_release,2,2,0,2,FR,0.5,5000.0,1.0
A16AX,A,mah_national,12,16,0,,,,,
