substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
Clopidogrel Hydrogen Sulfate,clopidogrel,False,B01AC04,B,native,Pinewood Laboratories Limited,pinewood laboratories,PA0281/271/001,,hpra,mah_national,authorised,,stripped trailing 'sulfate'; stripped trailing 'hydrogen'
Clopidogrel,clopidogrel,False,B01AC|B01AC04,B,native,Teva B.V.,teva b v,EU/1/14/975/001-017,,hpra,mah_national,authorised,,
Clopidogrel hydrochloride,clopidogrel,False,B01AC|B01AC04,B,native,TAD Pharma GmbH,tad,EU/1/09/555/1-9,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clopidogrel hydrochloride,clopidogrel,False,B01AC|B01AC04,B,native,Taw Pharma (Ireland) Limited,taw ireland,EU/1/09/559/001-016,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC|B01AC04,B,native,Teva B.V.,teva b v,EU/1/09/540/1-16,,hpra,mah_national,authorised,,
Clopidogrel besilate,clopidogrel,False,B01AC|B01AC04,B,native,Viatris Limited,viatris,EU/1/09/568/001-020,,hpra,mah_national,authorised,,stripped trailing 'besilate'
Clopidogrel,clopidogrel,False,B01AC|B01AC04,B,native,Zentiva k.s.,zentiva k s,EU/1/08/465/15-17,,hpra,mah_national,authorised,,
Zuclopenthixol hydrochloride,zuclopenthixol,False,N05AF|N05AF05,N,native,Lundbeck ( Ireland ) Limited,lundbeck ireland,PA0776/002/003,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
ZUCLOPENTHIXOL DECANOATE,zuclopenthixol,False,N05AF|N05AF05,N,native,Lundbeck ( Ireland ) Limited,lundbeck ireland,PA0776/002/001,,hpra,mah_national,authorised,,stripped trailing 'decanoate'
ZUCLOPENTHIXOL DECANOATE,zuclopenthixol,False,N05AF|N05AF05,N,native,Lundbeck ( Ireland ) Limited,lundbeck ireland,PA0776/002/002,,hpra,mah_national,authorised,,stripped trailing 'decanoate'
Clarithromycin,clarithromycin,False,J01FA|J01FA09,J,native,"Rowex Limited,",rowex,PA0711/061/001,,hpra,mah_national,authorised,,
Clarithromycin,clarithromycin,False,J01FA|J01FA09,J,native,"Rowex Limited,",rowex,PA0711/061/002,,hpra,mah_national,authorised,,
Clarithromycin,clarithromycin,False,J01FA|J01FA09,J,native,Aspire Pharma (Malta) Limited,aspire malta,PA23142/006/001,,hpra,mah_national,authorised,,
Clozapine,clozapine,False,N05AH02,N,native,Viatris Healthcare Limited,viatris healthcare,PA23355/022/006,,hpra,mah_national,authorised,,
